index	symbol	source_file	line_no	raw
36	__cvt_fp2unsigned	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2099	__cvt_fp2unsigned = .text:0x800D6300; // type:label scope:global
37	__shr2u	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2100	__shr2u = .text:0x800D6348; // type:label scope:global
38	__div2i	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2101	__div2i = .text:0x800D634C; // type:label scope:global
39	__shl2i	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2102	__shl2i = .text:0x800D6350; // type:label scope:global
40	__mod2i	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2103	__mod2i = .text:0x800D6354; // type:label scope:global
41	__shr2i	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2104	__shr2i = .text:0x800D6358; // type:label scope:global
42	__div2u	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2105	__div2u = .text:0x800D635C; // type:label scope:global
43	__mod2u	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2106	__mod2u = .text:0x800D6360; // type:label scope:global
44	__va_arg	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2107	__va_arg = .text:0x800D6364; // type:label scope:global
45	__kernel_cos	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2142	__kernel_cos = .text:0x800D7FE8; // type:function size:0xF4 scope:global
46	__kernel_sin	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2144	__kernel_sin = .text:0x800D80DC; // type:function size:0xAC scope:global
47	__kernel_tan	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2146	__kernel_tan = .text:0x800D8188; // type:function size:0x25C scope:global
48	__ieee754_rem_pio2	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2148	__ieee754_rem_pio2 = .text:0x800D83E4; // type:function size:0x364 scope:global
