# queue_to_batch.py --min-conf LOW (297 renames)


# === HIGH ===
fn_80024520 NuGlassRenderStatic  # mac [gcnemo NuGlassClose..NuGobjInit]
fn_8000B518 NuMtxTransposeR  # mac [gcnemo NuMtxMulR..NuPlnLine3]
fn_8000B5F4 NuMtxTranspose  # mac [gcnemo NuMtxMulR..NuPlnLine3]
fn_8000B8CC NuMtxInv  # mac [gcnemo NuMtxMulR..NuPlnLine3]
fn_8000BAFC NuMtxInvR  # mac [gcnemo NuMtxMulR..NuPlnLine3]
fn_8000BCB0 NuMtxInvH  # mac [gcnemo NuMtxMulR..NuPlnLine3]
fn_8000BDD0 NuPtInPoly  # mac [gcnemo NuPlnLine3..NuRandInt]
fn_8000BE70 NuPtInPolyXY  # mac [gcnemo NuPlnLine3..NuRandInt]
fn_8000BF0C NuPtInPolyYX  # mac [gcnemo NuPlnLine3..NuRandInt]
fn_8000BF70 NuPtInPolyXZ  # mac [gcnemo NuPlnLine3..NuRandInt]
fn_8000BFD4 NuPtInPolyZX  # mac [gcnemo NuPlnLine3..NuRandInt]
fn_8000C038 NuPtInPolyYZ  # mac [gcnemo NuPlnLine3..NuRandInt]
fn_8000C07C NuPtInPolyZY  # mac [gcnemo NuPlnLine3..NuRandInt]
fn_8000C1B8 NuRandSeed  # mac [crashwoc_retail NuRand..NuVecMtxRotate]
fn_8000C634 NuRandFloat  # mac [crashwoc_retail NuRand..NuVecMtxRotate]
fn_8000CB50 NuVec4Add  # mac [gcnemo NuVecMin..NuMtlGet3dBuffer]
fn_8000CB74 NuVec4Dot  # mac [gcnemo NuVecMin..NuMtlGet3dBuffer]
fn_8000CBF4 NuVec4Scale  # mac [gcnemo NuVecMin..NuMtlGet3dBuffer]
fn_8000CCA4 NuVec4ScaleAccum  # mac [gcnemo NuVecMin..NuMtlGet3dBuffer]
fn_8000CD08 NuVec4Sub  # mac [gcnemo NuVecMin..NuMtlGet3dBuffer]
fn_8000CD68 NuVec4MtxTransform  # mac [gcnemo NuVecMin..NuMtlGet3dBuffer]
fn_8000CDFC NuVec4MtxInvTransform  # mac [gcnemo NuVecMin..NuMtlGet3dBuffer]
fn_8000CE8C NuVec4MtxInvTransformVU0  # mac [gcnemo NuVecMin..NuMtlGet3dBuffer]
fn_8000D010 NuMtlRender3d  # mac [crashwoc_retail NuMtlGet3dBuffer..NuMtxTranslate]
fn_8000D134 NuMtlRenderDynamic2d3d  # mac [crashwoc_retail NuMtlGet3dBuffer..NuMtxTranslate]
