# queue_to_batch.py --min-conf LOW (297 renames)


# === HIGH ===
fn_80024520 NuGlassRenderStatic  # mac [gcnemo NuGlassClose..NuGobjInit]
fn_800C9648 NuLightSetDirectionalLights  # mac [crashwoc_retail NuHazeInit..NuHGobjEvalAnim]
fn_800C9AF4 NuLightSetStoredLights  # mac [crashwoc_retail NuHazeInit..NuHGobjEvalAnim]
fn_800C9E44 NuLightClearStoredLights  # mac [crashwoc_retail NuHazeInit..NuHGobjEvalAnim]
fn_800CA018 NuLightFog  # mac [crashwoc_retail NuHazeInit..NuHGobjEvalAnim]
fn_800CA388 NuLightAddSpotXSpanFade  # mac [crashwoc_retail NuHazeInit..NuHGobjEvalAnim]
fn_800CA4AC NuLightMatInit  # mac [crashwoc_retail NuHazeInit..NuHGobjEvalAnim]
fn_800CC970 ResetLevel  # crashwoc [norm-body-match; module=gamecode]
fn_800D0374 RotateGameMatrix  # crashwoc [norm-body-match; module=gamecode]
fn_800EFB08 NuQuatMul  # mac [crashwoc_retail NuMtxToQuat..NuShaderSetLightConstants]
fn_800EFE7C NuQuatNormalise  # mac [crashwoc_retail NuMtxToQuat..NuShaderSetLightConstants]
fn_800F01C4 NuRandSeed  # mac [crashwoc_retail NuMtxToQuat..NuShaderSetLightConstants]
fn_800F0504 NuRandFloat  # mac [crashwoc_retail NuMtxToQuat..NuShaderSetLightConstants]
fn_800F06D8 NuTrigInit  # mac [crashwoc_retail NuMtxToQuat..NuShaderSetLightConstants]
fn_800F08B0 NuAtani  # mac [crashwoc_retail NuMtxToQuat..NuShaderSetLightConstants]
fn_8011B020 CC_maxy  # crashwoc [norm-body-match; module=gamecode]
fn_8011B02C CC_scale  # crashwoc [norm-body-match; module=gamecode]
fn_8011BE44 CSC_fpsec  # crashwoc [norm-body-match; module=gamecode]
fn_8012BF24 AIPathCnxControllerSetOnRange  # mac [mac_lsw1_demo AIPathCnxControllerCreate..Condition_EitherPlayerUsingForce]
fn_8012C884 NuVec4MtxTransformVU0  # mac [mac_lsw1_demo AIPathCnxControllerCreate..Condition_EitherPlayerUsingForce]
fn_8012C994 NuVec4MtxRotateVU0  # mac [mac_lsw1_demo AIPathCnxControllerCreate..Condition_EitherPlayerUsingForce]
fn_8012CA84 NuFpDiv  # mac [mac_lsw1_demo AIPathCnxControllerCreate..Condition_EitherPlayerUsingForce]
fn_8012CD50 NuFntMoveAbs  # mac [mac_lsw1_demo AIPathCnxControllerCreate..Condition_EitherPlayerUsingForce]
fn_8012D1CC MenuEnterSaveConfirm  # mac [mac_lsw1_demo AIPathCnxControllerCreate..Condition_EitherPlayerUsingForce]
fn_8012D1E8 MenuEnterAutoSaveWarning  # mac [mac_lsw1_demo AIPathCnxControllerCreate..Condition_EitherPlayerUsingForce]
fn_8012D204 MenuEnterAutoSaveCancel  # mac [mac_lsw1_demo AIPathCnxControllerCreate..Condition_EitherPlayerUsingForce]
fn_8014FD9C DrawWeatherResearchLevelExtra  # crashwoc [norm-body-match; module=gamecode]
fn_80150D64 NuErrorFunction  # mac [gcnemo __OSThreadInit..OSGetFontEncode]
fn_80150D80 NuErrorProlog  # mac [gcnemo __OSThreadInit..OSGetFontEncode]
fn_80150D94 NuWarningFunction  # mac [gcnemo __OSThreadInit..OSGetFontEncode]
fn_80150DBC NuWarningProlog  # mac [gcnemo __OSThreadInit..OSGetFontEncode]
fn_80150DD4 NuDebugMsgFunction  # mac [gcnemo __OSThreadInit..OSGetFontEncode]
fn_80150DE8 NuDebugMsgProlog  # mac [gcnemo __OSThreadInit..OSGetFontEncode]
fn_80160BB8 OnReset  # crashwoc [norm-body-match; module=gamecode; lsw2_gc_exact=0x801e7044; narnia_gc_exact=0x801ff8b8]
fn_801625B0 UnsetRun  # crashwoc [norm-body-match; module=gamecode]
fn_80165360 ProbeBarnacle  # crashwoc [norm-body-match; module=gamecode]
fn_8017B514 DummyLen  # crashwoc [norm-body-match; module=gamecode]
fn_8018BE6C ScreenReport  # crashwoc [norm-body-match; module=gamecode]
