# High-Confidence Mac->GC (string-evidence)
# mac_name	gc_name	evidence
Z17NuLgtArcLaserDrawi	Menu_Unknown16_HandleSelection	StatusAward
Z17NuLgtArcLaserDrawi	Menu_Unknown1_HandleSelection	StatusAward
