batman	i386	0x350a	T	text	func	__ZN17CWindow_UtilitiesC2Ev	ZN17CWindow_UtilitiesC2Ev		Other
batman	i386	0x3582	T	text	func	__ZN17CWindow_UtilitiesC1Ev	ZN17CWindow_UtilitiesC1Ev		Other
batman	i386	0x358c	T	text	func	__ZN17CWindow_UtilitiesD2Ev	ZN17CWindow_UtilitiesD2Ev		Other
batman	i386	0x35a2	T	text	func	__ZN17CWindow_UtilitiesD1Ev	ZN17CWindow_UtilitiesD1Ev		Other
batman	i386	0x35ac	T	text	func	__ZN17CWindow_UtilitiesD0Ev	ZN17CWindow_UtilitiesD0Ev		Other
batman	i386	0x35d2	T	text	func	__ZN17CWindow_Utilities16Create_CG_WindowEv	ZN17CWindow_Utilities16Create_CG_WindowEv		Other
batman	i386	0x373a	T	text	func	__ZN17CWindow_Utilities17Find_Front_WindowERK7CString	ZN17CWindow_Utilities17Find_Front_WindowERK7CString		Other
batman	i386	0x38e4	T	text	func	__ZN17CWindow_Utilities25CG_Callback_Window_ResizeERK7CStringPv	ZN17CWindow_Utilities25CG_Callback_Window_ResizeERK7CStringPv		Other
batman	i386	0x3bfc	T	text	func	___tcf_0	tcf_0		Other
batman	i386	0x3c0c	T	text	func	___tcf_1	tcf_1		Other
batman	i386	0x3c1c	T	text	func	___tcf_2	tcf_2		Other
batman	i386	0x3c2c	T	text	func	___tcf_3	tcf_3		Other
batman	i386	0x3c3c	T	text	func	___tcf_4	tcf_4		Other
batman	i386	0x3c4c	T	text	func	__ZN17CWindow_Utilities7DoTimerEv	ZN17CWindow_Utilities7DoTimerEv		Other
batman	i386	0x3cbe	T	text	func	__ZN17CWindow_Utilities16Find_Next_WindowE13SecureBooleanS0_	ZN17CWindow_Utilities16Find_Next_WindowE13SecureBooleanS0_		Other
batman	i386	0x46ee	T	text	func	__ZN17CWindow_Utilities18Update_Window_ListEP13SecureBoolean	ZN17CWindow_Utilities18Update_Window_ListEP13SecureBoolean		Other
batman	i386	0x4912	T	text	func	__ZN9__gnu_cxx13new_allocatorI7CStringE9constructEPS1_RKS1_	ZN9__gnu_cxx13new_allocatorI7CStringE9constructEPS1_RKS1_		Other
batman	i386	0x493a	T	text	func	__ZNSaI7CStringEC2Ev	ZNSaI7CStringEC2Ev		Other
batman	i386	0x4940	T	text	func	__ZN9__gnu_cxx13new_allocatorI7CStringE8allocateEmPKv	ZN9__gnu_cxx13new_allocatorI7CStringE8allocateEmPKv		Other
batman	i386	0x4964	T	text	func	__ZNSt15__copy_backwardILb0ESt26random_access_iterator_tagE6copy_bIP7CStringS4_EET0_T_S6_S5_	ZNSt15__copy_backwardILb0ESt26random_access_iterator_tagE6copy_bIP7CStringS4_EET0_T_S6_S5_		Other
batman	i386	0x49a4	T	text	func	__ZN17CMemory_Utilities12Balance_TreeEv	ZN17CMemory_Utilities12Balance_TreeEv		Other
batman	i386	0x49d2	T	text	func	__ZN17CMemory_Utilities16Remove_Tree_NodeEv	ZN17CMemory_Utilities16Remove_Tree_NodeEv		Other
batman	i386	0x4a00	T	text	func	__ZN17CMemory_Utilities11Delete_TreeEv	ZN17CMemory_Utilities11Delete_TreeEv		Other
batman	i386	0x4a2e	T	text	func	__ZN17CMemory_Utilities16Flush_Tree_StateEv	ZN17CMemory_Utilities16Flush_Tree_StateEv		Other
batman	i386	0x4a5c	T	text	func	__ZN17CMemory_Utilities10Purge_HeapEm	ZN17CMemory_Utilities10Purge_HeapEm		Other
batman	i386	0x4a90	T	text	func	__ZN17CMemory_Utilities13Node_IteratorEv	ZN17CMemory_Utilities13Node_IteratorEv		Other
batman	i386	0x4abe	T	text	func	__ZN17CMemory_Utilities10Purge_TreeEm	ZN17CMemory_Utilities10Purge_TreeEm		Other
batman	i386	0x4afe	T	text	func	__ZN17CMemory_Utilities16For_Each_Node_DoEv	ZN17CMemory_Utilities16For_Each_Node_DoEv		Other
batman	i386	0x4b2c	T	text	func	__ZN17CMemory_Utilities17Update_Free_CountEm	ZN17CMemory_Utilities17Update_Free_CountEm		Other
batman	i386	0x4b60	T	text	func	__ZN17CMemory_Utilities18Find_Previous_NodeEv	ZN17CMemory_Utilities18Find_Previous_NodeEv		Other
batman	i386	0x4b8e	T	text	func	__ZN17CMemory_Utilities18Update_Alloc_CountEm	ZN17CMemory_Utilities18Update_Alloc_CountEm		Other
batman	i386	0x4bc4	T	text	func	__ZN17CMemory_Utilities14Find_Next_NodeEv	ZN17CMemory_Utilities14Find_Next_NodeEv		Other
batman	i386	0x4bf2	T	text	func	__ZN17CMemory_Utilities19Find_Next_Free_NodeEv	ZN17CMemory_Utilities19Find_Next_Free_NodeEv		Other
batman	i386	0x4bfa	T	text	func	__ZN9__gnu_cxxneIP7CStringSt6vectorIS1_SaIS1_EEEEbRKNS_17__normal_iteratorIT_T0_EESB_	ZN9__gnu_cxxneIP7CStringSt6vectorIS1_SaIS1_EEEEbRKNS_17__normal_iteratorIT_T0_EESB_		Other
batman	i386	0x4c10	T	text	func	__ZNSt22__copy_backward_normalILb1ELb1EE8copy_b_nIN9__gnu_cxx17__normal_iteratorIP7CStringSt6vectorIS4_SaIS4_EEEES9_EET0_T_SB_SA_	ZNSt22__copy_backward_normalILb1ELb1EE8copy_b_nIN9__gnu_cxx17__normal_iteratorIP7CStringSt6vectorIS4_SaIS4_EEEES9_EET0_T_SB_SA_		Other
batman	i386	0x4c32	T	text	func	__ZSt13__destroy_auxIN9__gnu_cxx17__normal_iteratorIP7CStringSt6vectorIS2_SaIS2_EEEEEvT_S8_12__false_type	ZSt13__destroy_auxIN9__gnu_cxx17__normal_iteratorIP7CStringSt6vectorIS2_SaIS2_EEEEEvT_S8_12__false_type		Other
batman	i386	0x4c66	T	text	func	__ZN9__gnu_cxxmiIPK7CStringS3_St6vectorIS1_SaIS1_EEEENS_17__normal_iteratorIT_T1_E15difference_typeERKSA_RKNS7_IT0_S9_EE	ZN9__gnu_cxxmiIPK7CStringS3_St6vectorIS1_SaIS1_EEEENS_17__normal_iteratorIT_T1_E15difference_typeERKSA_RKNS7_IT0_S9_EE		Other
batman	i386	0x4c7e	T	text	func	__ZNKSt6vectorI7CStringSaIS0_EE4sizeEv	ZNKSt6vectorI7CStringSaIS0_EE4sizeEv		Other
batman	i386	0x4ca6	T	text	func	__ZSt10_ConstructI7CStringS0_EvPT_RKT0_	ZSt10_ConstructI7CStringS0_EvPT_RKT0_		Other
batman	i386	0x4cce	T	text	func	__ZSt24__uninitialized_copy_auxIN9__gnu_cxx17__normal_iteratorIP7CStringSt6vectorIS2_SaIS2_EEEES7_ET0_T_S9_S8_12__false_type	ZSt24__uninitialized_copy_auxIN9__gnu_cxx17__normal_iteratorIP7CStringSt6vectorIS2_SaIS2_EEEES7_ET0_T_S9_S8_12__false_type		Other
batman	i386	0x4d42	T	text	func	__ZNSaI7CStringED2Ev	ZNSaI7CStringED2Ev		Other
batman	i386	0x4d48	T	text	func	__ZNSt12_Vector_baseI7CStringSaIS0_EE12_Vector_implD2Ev	ZNSt12_Vector_baseI7CStringSaIS0_EE12_Vector_implD2Ev		Other
batman	i386	0x4d52	T	text	func	__ZNSaI7CStringEC2ERKS0_	ZNSaI7CStringEC2ERKS0_		Other
batman	i386	0x4d58	T	text	func	__ZNSt12_Vector_baseI7CStringSaIS0_EE12_Vector_implC2ERKS1_	ZNSt12_Vector_baseI7CStringSaIS0_EE12_Vector_implC2ERKS1_		Other
batman	i386	0x4d8c	T	text	func	__ZNSt12_Vector_baseI7CStringSaIS0_EEC2ERKS1_	ZNSt12_Vector_baseI7CStringSaIS0_EEC2ERKS1_		Other
batman	i386	0x4d96	T	text	func	__ZSt8_DestroyIN9__gnu_cxx17__normal_iteratorIP7CStringSt6vectorIS2_SaIS2_EEEES5_EvT_S8_T0_	ZSt8_DestroyIN9__gnu_cxx17__normal_iteratorIP7CStringSt6vectorIS2_SaIS2_EEEES5_EvT_S8_T0_		Other
