source_binary	architecture	address	symbol_type	section	type_abbrev	raw_name	clean_name	demangled	subsystem
lsw1_demo	ppc	0x14be0	t	text	func	__Z27AddVariableShotDebrisEffectiP7nuvec_siss	_Z27AddVariableShotDebrisEffectiP7nuvec_siss		Other
lsw1_demo	ppc	0x14c10	t	text	func	__Z15AddDebrisEffectPiifff	_Z15AddDebrisEffectPiifff		Other
lsw1_demo	ppc	0x15270	t	text	func	__Z22DebrisPopulateInstanceif	_Z22DebrisPopulateInstanceif		Other
lsw1_demo	ppc	0x15430	t	text	func	__Z20DebrisSetRenderGroupi	_Z20DebrisSetRenderGroupi		Other
lsw1_demo	ppc	0x15460	t	text	func	__Z28DebrisDrawCalculateClipBoxesP10debinftypeP16debkeydatatype_s	_Z28DebrisDrawCalculateClipBoxesP10debinftypeP16debkeydatatype_s		Other
lsw1_demo	ppc	0x15780	t	text	func	__Z10DebrisDrawii	_Z10DebrisDrawii		Other
lsw1_demo	ppc	0x15d70	t	text	func	__Z26DebrisProcessControlChunksi	_Z26DebrisProcessControlChunksi		Other
lsw1_demo	ppc	0x16930	t	text	func	__Z21DebrisProcessTriggersv	_Z21DebrisProcessTriggersv		Other
lsw1_demo	ppc	0x169b0	t	text	func	__Z23DebrisProcessAllocationv	_Z23DebrisProcessAllocationv		Other
lsw1_demo	ppc	0x16a20	t	text	func	__Z23DebrisProcessGenerationv	_Z23DebrisProcessGenerationv		Other
lsw1_demo	ppc	0x17020	t	text	func	__Z20DebrisProcessTimingsv	_Z20DebrisProcessTimingsv		Other
lsw1_demo	ppc	0x17120	t	text	func	__Z24DebrisProcessStackUpdatev	_Z24DebrisProcessStackUpdatev		Other
lsw1_demo	ppc	0x17420	t	text	func	__Z22DebrisSetTimeIncrementf	_Z22DebrisSetTimeIncrementf		Other
lsw1_demo	ppc	0x17450	t	text	func	__Z14DebrisTimeSlipi	_Z14DebrisTimeSlipi		Other
lsw1_demo	ppc	0x17800	t	text	func	__Z6Debrisi	_Z6Debrisi		Other
lsw1_demo	ppc	0x178f0	t	text	func	__Z28LookupDebrisEffectPageIgnorePcci	_Z28LookupDebrisEffectPageIgnorePcci		Other
lsw1_demo	ppc	0x17ac0	t	text	func	__Z22LookupDebrisEffectPagePcc	_Z22LookupDebrisEffectPagePcc		Other
lsw1_demo	ppc	0x17af0	t	text	func	__Z26LookupDebrisEffectPageOnlyPcc	_Z26LookupDebrisEffectPageOnlyPcc		Other
lsw1_demo	ppc	0x17c40	t	text	func	__Z18LookupDebrisEffectPc	_Z18LookupDebrisEffectPc		Other
lsw1_demo	ppc	0x17c70	t	text	func	__Z29DebrisRegisterCutoffCameraVecP7nuvec_s	_Z29DebrisRegisterCutoffCameraVecP7nuvec_s		Other
lsw1_demo	ppc	0x17ca0	t	text	func	__Z21CameraEmitterDistanceP7nuvec_s	_Z21CameraEmitterDistanceP7nuvec_s		Other
