confidence	score	module	gc_old	gc_addr	gc_size	new_name	mac_source	mac_arch	mac_addr	mac_size	left_anchor	right_anchor	gap
LOW	9	unknown	fn_800146AC	0x800146AC	0x120	NuHazeRender	gcnemo	ppc	0x800B1DD8	0x4	NuSplineFind	NuTexAnimProgFind	20:337
LOW	9	unknown	fn_800147CC	0x800147CC	0x128	NuLigthSetPolyHazeMat	gcnemo	ppc	0x800B1DDC	0x4	NuSplineFind	NuTexAnimProgFind	20:337
LOW	9	unknown	fn_800148F4	0x800148F4	0x128	NuLightAddHazePoly	gcnemo	ppc	0x800B1DE0	0x4	NuSplineFind	NuTexAnimProgFind	20:337
LOW	9	unknown	fn_80014A1C	0x80014A1C	0x240	NuLightGetHazeMtl	gcnemo	ppc	0x800B1DE4	0x8	NuSplineFind	NuTexAnimProgFind	20:337
LOW	9	unknown	fn_80014C5C	0x80014C5C	0x128	NuShadowInit	gcnemo	ppc	0x800B1DEC	0x4	NuSplineFind	NuTexAnimProgFind	20:337
LOW	9	unknown	fn_80014D84	0x80014D84	0x13C	NuShadowSetPos	gcnemo	ppc	0x800B1DF0	0x4	NuSplineFind	NuTexAnimProgFind	20:337
LOW	9	unknown	fn_80014EC0	0x80014EC0	0x30C	NuShadowSetTextureScale	gcnemo	ppc	0x800B1DF4	0x14	NuSplineFind	NuTexAnimProgFind	20:337
LOW	9	unknown	fn_800151CC	0x800151CC	0xA04	NuShadowCopyBackbuffer	gcnemo	ppc	0x800B1E08	0x4	NuSplineFind	NuTexAnimProgFind	20:337
LOW	10	unknown	fn_80015BD0	0x80015BD0	0x64	NuShadowRestoreBackBuffer	gcnemo	ppc	0x800B1E0C	0x4	NuSplineFind	NuTexAnimProgFind	20:337
LOW	10	unknown	fn_80015C88	0x80015C88	0xB8	NuTexAnimProgInit	crashwoc_retail	ppc	0x800BA1DC	0x5C	NuTexAnimProgFind	NuTexAnimSetSignals	1:6
