# caller_name	caller_addr	callee_addr	callee_name
NuFileRead	0x80004138	0x80004A28	NuDatFileLoadBuffer
NuFileRead	0x80004184	0x8054AE38	fn_8054AE38
NuFileRead	0x80004198	0x80004908	NuDatFileLoadBuffer
NuFileRead	0x80004268	0x8001D1FC	fn_8001D0D8
NuFileRead	0x80004278	0x8001B2EC	NuAnimData2Fixup
NuFileRead	0x800042C8	0x8001D0DC	fn_8001D0D8
NuFileRead	0x800042E4	0x8001B1A8	fn_8001AF8C
NuFileRead	0x80004340	0x8054A904	fn_8054A904
NuFileRead	0x80004364	0x800043A4	NuFileBeginBlkRead
NuFileRead	0x80004370	0x8001B004	fn_8001AF8C
NuFileBeginBlkRead	0x800043B8	0x80001BCC	fn_80001BCC
NuFileBeginBlkRead	0x80004400	0x80004650	NuDatFileLoadBuffer
NuFileBeginBlkRead	0x8000440C	0x80001AD0	fn_80001AD0
NuFileBeginBlkRead	0x80004430	0x800036F4	NuFileOpen
NuFileBeginBlkRead	0x8000446C	0x800197E0	fn_800197B8
NuDatFileLoadBufferLsn	0x800044F4	0x80005FB8	NuDatFileFindTree
NuDatFileLoadBufferLsn	0x80004560	0x800195A4	NuAnimData2FixPtrs
NuDatFileLoadBufferLsn	0x80004590	0x80014614	fn_8001459C
NuDatFileLoadBufferLsn	0x80004598	0x800047A8	NuDatFileLoadBuffer
NuDatFileLoadBufferLsn	0x800045BC	0x80019490	NuAnimData2FixPtrs
NuDatFileLoadBufferLsn	0x800045F0	0x800193F4	NuAnimData2FixPtrs
NuDatFileLoadBufferLsn	0x8000460C	0x8000442C	NuFileBeginBlkRead
NuDatFileLoadBufferLsn	0x80004614	0x80004634	NuDatFileLoadBuffer
NuDatFileLoadBuffer	0x80004670	0x80003F54	NuFileLoadBuffer
NuDatFileLoadBuffer	0x80004688	0x8001922C	NuAnimData2LoadBuffEx
NuDatFileLoadBuffer	0x800046B4	0x80005FC8	NuDatFileFindTree
NuDatFileLoadBuffer	0x800046F0	0x8001C784	NuAnimCurveSetApplyBlendToJoint2
NuDatFileLoadBuffer	0x800046F8	0x80004718	NuDatFileLoadBuffer
NuDatFileLoadBuffer	0x80004758	0x80004908	NuDatFileLoadBuffer
NuDatFileLoadBuffer	0x8000476C	0x80018F80	NuAnimData2LoadBuffEx
NuDatFileLoadBuffer	0x80004788	0x80004818	NuDatFileLoadBuffer
NuDatFileLoadBuffer	0x80004794	0x80018F08	NuAnimData2LoadBuff
NuDatFileLoadBuffer	0x800047B8	0x8000A64C	fn_8000A64C
NuDatFileLoadBuffer	0x800047D0	0x8000A294	fn_8000A268
NuDatFileLoadBuffer	0x80004808	0x8001C43C	NuAnimCurveSetApplyBlendToJoint2
NuDatFileLoadBuffer	0x80004810	0x80004830	NuDatFileLoadBuffer
NuDatFileLoadBuffer	0x8000482C	0x800DB030	fn_800DA478
NuDatFileLoadBuffer	0x80004830	0x80004AE0	NuDatFileLoadBuffer
NuDatFileLoadBuffer	0x80004840	0x80009C14	fn_80009C00
NuDatFileLoadBuffer	0x80004844	0x80004AA4	NuDatFileLoadBuffer
NuDatFileLoadBuffer	0x8000484C	0x8000497C	NuDatFileLoadBuffer
NuDatFileLoadBuffer	0x80004860	0x80018CA4	NuAnimCurveDestroy
NuDatFileLoadBuffer	0x80004880	0x80018BA4	NuAnimCurveSetCreate
NuDatFileLoadBuffer	0x8000489C	0x80019630	NuAnimData2FixPtrs
NuDatFileLoadBuffer	0x800048D8	0x80549ACC	fn_80549ACC
NuDatFileLoadBuffer	0x800048E8	0x80018B0C	NuAnimDataCreate
NuDatFileLoadBuffer	0x80004910	0x80013B94	fn_80013B28
NuDatFileLoadBuffer	0x80004918	0x800052D8	NuDatOpenEx
NuDatFileLoadBuffer	0x80004938	0x80004AF8	NuDatFileLoadBuffer
NuDatFileLoadBuffer	0x80004948	0x800189EC	NuAnimDataFindVersion
NuDatFileLoadBuffer	0x80004964	0x80004A14	NuDatFileLoadBuffer
NuDatFileLoadBuffer	0x80004974	0x80018968	NuAnimDataFindVersion
NuDatFileLoadBuffer	0x8000499C	0x8000A0A0	fn_80009E94
NuDatFileLoadBuffer	0x800049B4	0x80009CE8	fn_80009C00
NuDatFileLoadBuffer	0x800049EC	0x8001BE90	NuAnimBuffEvaluate
NuDatFileLoadBuffer	0x800049F4	0x80004A14	NuDatFileLoadBuffer
NuDatFileLoadBuffer	0x80004A10	0x800DAA84	fn_800DA478
NuDatFileLoadBuffer	0x80004A14	0x80004614	NuDatFileLoadBufferLsn
NuDatFileLoadBuffer	0x80004A24	0x80009668	fn_8000965C
NuDatFileLoadBuffer	0x80004A28	0x800045D8	NuDatFileLoadBufferLsn
NuDatFileLoadBuffer	0x80004A30	0x80004B60	NuDatFileLoadBuffer
NuDatFileLoadBuffer	0x80004A44	0x800186F8	NuAnimDataRead
NuDatFileLoadBuffer	0x80004A64	0x800185F8	NuAnimDataRead
NuDatFileLoadBuffer	0x80004A80	0x80019084	NuAnimData2LoadBuffEx
NuDatFileLoadBuffer	0x80004ABC	0x80549520	fn_80549520
NuDatFileLoadBuffer	0x80004AC0	0x80004410	NuFileBeginBlkRead
NuDatFileLoadBuffer	0x80004AD4	0x800DA838	fn_800DA478
NuDatFileLoadBuffer	0x80004AD8	0x80004D88	NuDatFileOpen
NuDatFileLoadBuffer	0x80004AE8	0x8000941C	fn_80009408
NuDatFileLoadBuffer	0x80004AEC	0x80004D4C	NuDatFileOpen
NuDatFileLoadBuffer	0x80004AF4	0x80004C24	NuDatFileSeek
NuDatFileLoadBuffer	0x80004B08	0x800184AC	fn_80017EA0
NuDatFileLoadBuffer	0x80004B28	0x800183AC	fn_80017EA0
NuDatFileLoadBuffer	0x80004B44	0x80018E38	NuAnimDataLoadBuff
NuDatFileLoadBuffer	0x80004B80	0x805492D4	fn_805492D4
NuDatFileSeek	0x80004BD4	0x80010A38	fn_80010120
NuDatFileSeek	0x80004C1C	0x80004C6C	NuDatFileSeek
NuDatFileSeek	0x80004C28	0x80004C48	NuDatFileSeek
NuDatFileSeek	0x80004C50	0x80010BA4	fn_80010120
NuDatFileSeek	0x80004C78	0x8001112C	fn_80011070
NuDatFileSeek	0x80004CA0	0x80004DA0	NuDatFileOpen
NuDatFileSeek	0x80004CB8	0x80010A6C	fn_80010120
NuDatFileSeek	0x80004CC8	0x80004D08	NuDatFileOpen
NuDatFileOpen	0x80004D2C	0x8001B950	NuAnimData2Relocate
NuDatFileOpen	0x80004D54	0x80004E34	NuDatFileOpen
NuDatFileOpen	0x80004D90	0x8001B904	NuAnimData2Relocate
NuDatFileOpen	0x80004DA4	0x800045A8	NuDatFileLoadBufferLsn
NuDatFileOpen	0x80004E0C	0x8000533C	NuDatOpenEx
NuDatFileOpen	0x80004E5C	0x800000A0	fn_800000A0
NuDatFileOpen	0x80004E70	0x80017A74	NuAnimCurve2CalcValEx
NuDatFileOpen	0x80004E88	0x80004D98	NuDatFileOpen
NuDatFileOpen	0x80004EB0	0x800179B4	NuAnimCurve2CalcValEx
NuDatFileOpen	0x80004ED4	0x800050E4	NuDatOpenEx
NuDatFileOpen	0x80004EFC	0x800178D0	NuAnimCurve2CalcValEx
NuDatFileOpen	0x80004F1C	0x80004FFC	NuDatOpenEx
NuDatFileOpen	0x80004F38	0x8001781C	NuAnimCurve2CalcValEx
NuDatOpenEx	0x80004F9C	0x7FFFE8F0	fn_7FFFE8F0
NuDatOpenEx	0x80004FE0	0x8001ACB4	NuAnimCurveSetLoad
NuDatOpenEx	0x80004FE8	0x80005008	NuDatOpenEx
NuDatOpenEx	0x80005004	0x80005194	NuDatOpenEx
NuDatOpenEx	0x80005010	0x80017594	NuAnimCurve2CalcValEx
NuDatOpenEx	0x8000502C	0x800050BC	NuDatOpenEx
NuDatOpenEx	0x80005038	0x8001751C	NuAnimCurve2CalcVal
NuDatOpenEx	0x8000505C	0x7FFFFAA0	fn_7FFFFAA0
NuDatOpenEx	0x80005074	0x80001228	fn_80001228
NuDatOpenEx	0x800050A8	0x8001AA5C	NuAnimCurveSetLoad
NuDatOpenEx	0x800050B0	0x800050D0	NuDatOpenEx
NuDatOpenEx	0x800050C8	0x80005158	NuDatOpenEx
NuDatOpenEx	0x800050D4	0x80017348	NuAnimCurve2CalcVal
NuDatOpenEx	0x800050F8	0x7FFFF8CC	fn_7FFFF8CC
NuDatOpenEx	0x8000512C	0x8001A8D0	NuAnimCurveSetLoad
NuDatOpenEx	0x80005134	0x80005154	NuDatOpenEx
