confidence	crash_name	gc_fn	gc_addr	crash_size	crash_addr	gc_size	notes
LOW	DrawWeatherResearchLevelExtra	fn_8014FD9C	0x8014fd9c	0x002c	0x80072438	0x002c	norm-body-match; module=gamecode
LOW	OSGetConsoleType	fn_8015C130	0x8015c130	0x0028	0x800dce44	0x0028	norm-body-match; module=sdk
LOW	__OSUnlockSram	fn_80161DCC	0x80161dcc	0x0024	0x800e0fb0	0x0024	norm-body-match; module=sdk
LOW	__OSUnlockSramEx	fn_80161DF0	0x80161df0	0x0024	0x800e0fd4	0x0024	norm-body-match; module=sdk
LOW	UnsetRun	fn_801625B0	0x801625b0	0x0068	0x800e1380	0x0068	norm-body-match; module=gamecode
LOW	__OSReschedule	fn_80162A3C	0x80162a3c	0x0030	0x800e17e4	0x0030	norm-body-match; module=sdk
LOW	InitializeUART	fn_801656A8	0x801656a8	0x0070	0x800ff918	0x0070	norm-body-match; module=gamecode
LOW	SIRefreshSamplingRate	fn_8016725C	0x8016725c	0x0024	0x801014bc	0x0024	norm-body-match; module=gamecode
LOW	__DVDFSInit	fn_80167780	0x80167780	0x0038	0x800e2a54	0x0038	norm-body-match; module=sdk
LOW	DVDClose	fn_80167B74	0x80167b74	0x0024	0x800e2e48	0x0024	norm-body-match; module=sdk
LOW	CategorizeError	fn_801683C0	0x801683c0	0x00b4	0x800e3714	0x00b4	norm-body-match; module=gamecode
LOW	AlarmHandlerForTimeout	fn_8016B3E8	0x8016b3e8	0x0070	0x800e64c8	0x0070	norm-body-match; module=gamecode
LOW	DVDLowWaitCoverClose	fn_8016B914	0x8016b914	0x002c	0x800e69f4	0x002c	norm-body-match; module=sdk
LOW	getCurrentFieldEvenOdd	fn_8016DBD8	0x8016dbd8	0x0068	0x800e8738	0x0068	norm-body-match; module=gamecode
LOW	SamplingHandler	fn_8016FAB4	0x8016fab4	0x0060	0x800ea43c	0x0060	norm-body-match; module=gamecode
LOW	AXInit	fn_80172348	0x80172348	0x0034	0x800ebdf4	0x0034	norm-body-match; module=gamecode
LOW	__AXDSPResumeCallback	fn_80173684	0x80173684	0x0058	0x800ecbc0	0x0058	norm-body-match; module=gamecode
