match_type	lsw1_fn	lsw1_addr	lsw1_size	lsw2_addr	notes
exact	fn_80151350	0x80151350	0x01c0	0x801becb0	body occurs in GL7E64 main.dol
exact	fn_80151510	0x80151510	0x0214	0x801bee70	body occurs in GL7E64 main.dol
exact	fn_8015EDCC	0x8015edcc	0x0028	0x801e5258	body occurs in GL7E64 main.dol
exact	fn_8015EDF4	0x8015edf4	0x0014	0x801c825c	body occurs in GL7E64 main.dol
exact	fn_80160BB8	0x80160bb8	0x003c	0x801e7044	body occurs in GL7E64 main.dol
exact	fn_80160E90	0x80160e90	0x0070	0x801e731c	body occurs in GL7E64 main.dol
exact	fn_80162514	0x80162514	0x0010	0x801e8bd4	body occurs in GL7E64 main.dol
exact	fn_801638A0	0x801638a0	0x0020	0x801ea2e0	body occurs in GL7E64 main.dol
exact	fn_8016C264	0x8016c264	0x0204	0x801cbd64	body occurs in GL7E64 main.dol
exact	fn_8016DB9C	0x8016db9c	0x003c	0x801cd69c	body occurs in GL7E64 main.dol
exact	fn_80174AB0	0x80174ab0	0x0044	0x801d45f0	body occurs in GL7E64 main.dol
exact	fn_80188758	0x80188758	0x0020	0x801e0ae0	body occurs in GL7E64 main.dol
exact	fn_8018AC38	0x8018ac38	0x0020	0x801f7068	body occurs in GL7E64 main.dol
