# LSW2 PPC Data/BSS Symbols
# name	address	section
_EH_frame1	002c3c40	sdata/sbss
_EH_frame1	002c3ee8	sdata/sbss
_EH_frame1	002c441c	sdata/sbss
_EH_frame1	002c4660	sdata/sbss
_EH_frame1	002c4878	sdata/sbss
_EH_frame1	002c4938	sdata/sbss
_EH_frame1	002c4b60	sdata/sbss
_EH_frame1	002c4c40	sdata/sbss
_EH_frame1	002c4d08	sdata/sbss
_EH_frame1	002c4fd8	sdata/sbss
_EH_frame1	002c5010	sdata/sbss
_EH_frame1	002c5058	sdata/sbss
_EH_frame1	002c5294	sdata/sbss
_EH_frame1	002c5b70	sdata/sbss
_EH_frame1	002c5e7c	sdata/sbss
_EH_frame1	002c60c8	sdata/sbss
_EH_frame1	002c67fc	sdata/sbss
_EH_frame1	002c699c	sdata/sbss
_EH_frame1	002c6a94	sdata/sbss
_EH_frame1	002c7c20	sdata/sbss
_EH_frame1	002c7c9c	sdata/sbss
_EH_frame1	002c7ea8	sdata/sbss
_EH_frame1	002c7f24	sdata/sbss
_EH_frame1	002c7fac	sdata/sbss
_EH_frame1	002c8018	sdata/sbss
_EH_frame1	002c8100	sdata/sbss
_EH_frame1	002c825c	sdata/sbss
_EH_frame1	002c82a0	sdata/sbss
_EH_frame1	002c8938	sdata/sbss
_EH_frame1	002c8c40	sdata/sbss
_EH_frame1	002c8c8c	sdata/sbss
_EH_frame1	002c8cd4	sdata/sbss
_EH_frame1	002c8e28	sdata/sbss
_EH_frame1	002c9090	sdata/sbss
_EH_frame1	002c912c	sdata/sbss
_EH_frame1	002c9234	sdata/sbss
_EH_frame1	002c9538	sdata/sbss
_EH_frame1	002c9734	sdata/sbss
_EH_frame1	002c9a70	sdata/sbss
_EH_frame1	002c9b6c	sdata/sbss
_EH_frame1	002c9c1c	sdata/sbss
_EH_frame1	002c9dfc	sdata/sbss
_EH_frame1	002c9fc0	sdata/sbss
_EH_frame1	002ca268	sdata/sbss
_EH_frame1	002ca418	sdata/sbss
_EH_frame1	002ca654	sdata/sbss
_EH_frame1	002ca874	sdata/sbss
_EH_frame1	002caa70	sdata/sbss
_EH_frame1	002cab58	sdata/sbss
_EH_frame1	002cac04	sdata/sbss
_EH_frame1	002cacec	sdata/sbss
_EH_frame1	002cad60	sdata/sbss
_EH_frame1	002cadb4	sdata/sbss
_EH_frame1	002cae60	sdata/sbss
_EH_frame1	002caf2c	sdata/sbss
_EH_frame1	002cafb0	sdata/sbss
_EH_frame1	002cb06c	sdata/sbss
_EH_frame1	002cb0e8	sdata/sbss
_EH_frame1	002cb380	sdata/sbss
_EH_frame1	002cb624	sdata/sbss
_EH_frame1	002cb66c	sdata/sbss
_EH_frame1	002cb830	sdata/sbss
_EH_frame1	002cb998	sdata/sbss
_EH_frame1	002cb9e4	sdata/sbss
_ACTIVECUTCOUNT	002d9950	data
_AData	002dc75c	data
_AIActionParseSpeedFn	002e56e8	data
_AIBigJumpToDestinationFn	002e56e0	data
_AICreatureResumeScript.eh	00297710	sdata/sbss
_AIEDITOR_ANTINODES	002e568c	data
_AIEDITOR_AREAS	002e5694	data
_AIEDITOR_CREATURES	002e5698	data
_AIEDITOR_LOCATORS	002e5690	data
_AIEDITOR_PATHS	002e56a0	data
_AIEDITOR_ROUTES	002e569c	data
_AIEditorMovePlayersFn	002eeca0	data
_AIFireIntervalMul	002dba28	data
_AIFormationFollow.eh	002ae860	sdata/sbss
_AILocatorGroupSysCreate.eh	0029b86c	sdata/sbss
_AILocatorGroupSysFindGroup.eh	0029b784	sdata/sbss
_AIMoveInstruction.eh	002ae894	sdata/sbss
_AIPAthFindPathCnx.eh	002ae734	sdata/sbss
_AIParamToFloat.eh	002bb2ac	sdata/sbss
_AIParamToFloatEx.eh	002bb208	sdata/sbss
_AIPathCnxControlSysCreate.eh	0029b6ac	sdata/sbss
_AIPathCnxControlSysReset.eh	0029b680	sdata/sbss
_AIPathCnxControlSysUpdate.eh	0029b75c	sdata/sbss
_AIPathCnxControllerCreate.eh	0029b6d8	sdata/sbss
_AIPathCnxControllerDestroy.eh	0029b708	sdata/sbss
_AIPathCnxControllerSetOnRange.eh	0029b730	sdata/sbss
_AIPathDeletedFn	002e5678	data
_AIPathFindLocator.eh	002ae674	sdata/sbss
_AIPathFindNode.eh	002ae704	sdata/sbss
_AIPathNodeDeletedFn	002e5680	data
_AIPathNodeDistanceToPathNode.eh	002ae630	sdata/sbss
_AIPathNodeMovedFn	002e567c	data
_AIPathNodeUpdatePos.eh	002ae764	sdata/sbss
_AIRespawnOnPathFn	002e56e4	data
_AISYSRebuildFromEditorData.eh	002aeaf0	sdata/sbss
_AIScriptClearInterrupt.eh	002ae4b8	sdata/sbss
_AIScriptFind.eh	002baf44	sdata/sbss
_AIScriptInitConditions.eh	002bb1a0	sdata/sbss
_AIScriptLoadAll.eh	002bc238	sdata/sbss
_AIScriptLoadAllPakFile.eh	002bc1ec	sdata/sbss
_AIScriptNameFromIx.eh	002bafa8	sdata/sbss
_AIScriptProcess.eh	002bc3cc	sdata/sbss
_AIScriptProcessorInit.eh	002bc368	sdata/sbss
_AIScriptSetBaseScriptStateByName.eh	002bc3a0	sdata/sbss
_AIScriptSetInterrupt.eh	002ae488	sdata/sbss
_AIScriptSetStateByName.eh	002bc338	sdata/sbss
_AIStateFind.eh	002baf14	sdata/sbss
_AISysCharacterMovement.eh	002af170	sdata/sbss
_AISysCharacterSetPathCnx.eh	002aef64	sdata/sbss
_AISysCreatureAntinodeInteraction.eh	002aee1c	sdata/sbss
_AISysCreatureInteraction2D.eh	002aef0c	sdata/sbss
_AISysCreatureInteraction3D.eh	002aee60	sdata/sbss
_AISysFindArea.eh	002ae6a4	sdata/sbss
_AISysFindPath.eh	002ae6d4	sdata/sbss
_AISysGetCharacterPathPos.eh	002af01c	sdata/sbss
_AISysGetPathPos.eh	002aecf0	sdata/sbss
_AISysGetPathPos2.eh	00295b80	sdata/sbss
_AISysLoad.eh	002aede4	sdata/sbss
_AISysProcess.eh	002ae510	sdata/sbss
_AISysProcessCharacter.eh	002af1a4	sdata/sbss
_AISysSetLevelPath.eh	002ae4e0	sdata/sbss
_AITriggerSetAddTrigger.eh	00295be8	sdata/sbss
_AITriggerSetSysAddPair.eh	00295bb0	sdata/sbss
_AITriggerSetSysCreate.eh	00295b08	sdata/sbss
_AITriggerSetSysProcess.eh	00295b2c	sdata/sbss
_AITriggerSysAutoSetUp.eh	00295c1c	sdata/sbss
_ALLOWJUMPTIME	002e3164	data
_ALPHABLEND_STATE_LOCK_FLAG	007469a8	bss
_ALPHATEST_STATE_LOCK_FLAG	007469ac	bss
_ANI_LoadAni3File.eh	002beaec	sdata/sbss
_APIDrawCharacterModel.eh	002ae410	sdata/sbss
_APIDumpCharacterModels.eh	002adf44	sdata/sbss
_APILoadCharacterModels.eh	002ae2ac	sdata/sbss
_APIObjPlaySfxByIdFn	003451c0	sdata/sbss
_APIObjectCollision.eh	002adcd0	sdata/sbss
_APIObjectCollision2D.eh	002ae198	sdata/sbss
_APIObjectCollisions.eh	002add3c	sdata/sbss
_APIObjectLOSChecks.eh	002ae254	sdata/sbss
_APIObjectSysInit.eh	002adc9c	sdata/sbss
_APIObjectVelocities.eh	002ae168	sdata/sbss
_APITXTOFF	002d10ac	data
_APITrans_Mtl	00709dbc	bss
_APITransparentCharDraw.eh	002ae128	sdata/sbss
_APITransparentInit.eh	002ae0ec	sdata/sbss
_AREATORPEDOSCALE	002e3f68	data
_ATATJUMPINMUL	002e3610	data
_ATATJUMPOUTHEIGHTMUL	002e3618	data
_ATATJUMPOUTTIMEMUL	002e3614	data
_ATSTCAMPULLBACK	002d2254	data
_ATSTCAMRANGE	002d2258	data
_AUTOSAVEICONSIZE	002e3e68	data
_AbsFrustrumPlanes	006fe838	sdata/sbss
_AbsNearPlane	006fe8b8	sdata/sbss
_AbsScissorPlanes	006fe7b8	sdata/sbss
_Accessory	006ffb34	bss
_AchievementID	002e4674	data
_ActionName	002e3244	data
_ActionPairIndex	00708ba8	bss
_ActionPairTab	00708ba4	bss
_ActivateCharacter.eh	0029808c	sdata/sbss
_ActivatePlayer.eh	0029a4d4	sdata/sbss
_ActivePlayerInRange.eh	00297bfc	sdata/sbss
_AddAnimEffects.eh	002ae3ac	sdata/sbss
_AddBlowUpParts.eh	00299978	sdata/sbss
_AddBolt.eh	00295fb0	sdata/sbss
_AddBoltType.eh	00295c78	sdata/sbss
_AddCoinDelay	003389c4	sdata/sbss
_AddColourPick.eh	002ca940	sdata/sbss
_AddCreature.eh	00298130	sdata/sbss
_AddDebrisEffect.eh	002af8a0	sdata/sbss
_AddDeflectedBolt.eh	00295f14	sdata/sbss
_AddDynamicCreature.eh	0029b7b0	sdata/sbss
_AddExplosion.eh	00298ef0	sdata/sbss
_AddFancyMessage.eh	002a5b90	sdata/sbss
_AddFiniteShotDebrisEffect2.eh	002afa54	sdata/sbss
_AddFiniteShotDebrisEffectUserData.eh	002afa90	sdata/sbss
_AddFiniteShotPART.eh	002afdf0	sdata/sbss
_AddForcePickups.eh	0029910c	sdata/sbss
_AddGameDebris.eh	002ade2c	sdata/sbss
_AddGameDebrisMom.eh	002adee0	sdata/sbss
_AddGameDebrisMomentum.eh	002ade4c	sdata/sbss
_AddGameDebrisMtx.eh	002adeac	sdata/sbss
_AddGameDebrisRot.eh	002ade8c	sdata/sbss
_AddGameDebrisXYZ.eh	002ade6c	sdata/sbss
_AddGameMessage.eh	002a5b54	sdata/sbss
_AddGameMsgCount.eh	002a5c00	sdata/sbss
_AddGameObject.eh	0029a870	sdata/sbss
_AddLevelSfx.eh	002a7018	sdata/sbss
_AddMiscPickups.eh	002a6360	sdata/sbss
_AddPARTEffect.eh	002afdb8	sdata/sbss
_AddPart.eh	002afcc0	sdata/sbss
_AddPickupEffects.eh	002a5fc8	sdata/sbss
_AddPickups.eh	002a6300	sdata/sbss
_AddRotatedDebrisEffect.eh	002af8e4	sdata/sbss
_AddShoveObject.eh	002a3e8c	sdata/sbss
_AddSlamDebris.eh	0029a01c	sdata/sbss
_AddStreakPoints.eh	00299f34	sdata/sbss
_AddSurfaceDebris.eh	00299ebc	sdata/sbss
_AddSurfaceRipples.eh	0029a078	sdata/sbss
_AddToCollection.eh	00297ab8	sdata/sbss
_AddVariableShotDebrisEffectMtx.eh	002afa1c	sdata/sbss
_AddVariableShotDebrisEffectMtx3.eh	002af9f4	sdata/sbss
_AddVariableShotDebrisEffectMtx4.eh	002af9c8	sdata/sbss
_AddVariableShotDebrisEffectTimed1.eh	002af98c	sdata/sbss
_AddVariableShotDebrisEffectTimed3.eh	002af964	sdata/sbss
_AddVariableShotDebrisEffectTimed5.eh	002af914	sdata/sbss
_AddVariableShotPARTEffect.eh	002aff40	sdata/sbss
_AddWaterSplash.eh	00299fec	sdata/sbss
_AiEvalExpressionFailed	002ecfa8	data
_AiEvalExpressionPacket	0328f36c	bss
_AiEvalExpressionProcessor	0328f370	bss
_AiParseExpressionFailed	002ecfac	data
_AiRndrCullDistance	032ab190	bss
_AiRndrCullDistanceSqr	032ab18c	bss
_AiRndrLine3d.eh	002c502c	sdata/sbss
_AlwaysTimer	003450d8	sdata/sbss
_AmbientPairIndex	002e4310	data
_AmbientPairTab	00708ba0	bss
_AngleToForce.eh	002992f0	sdata/sbss
_AnimBlendMode	002e5660	data
_AnimBuffEvalCB	0329f550	bss
_AnimBuffEvalData	0329f558	bss
_AnimBuffEvalJoint	0329f554	bss
_AnimDuration.eh	002adfa4	sdata/sbss
_AnimParams	00622b7c	sdata/sbss
_AnimRedirectList	002d7ce4	data
_AnimatePlayer.eh	002978a8	sdata/sbss
_ApplyExtraRotation.eh	002a3088	sdata/sbss
_ApplyGravity.eh	002a43c4	sdata/sbss
_Area	002dc758	data
_AreaDataLoaded	002dc684	data
_AreaDeaths	002dc750	data
_AreaFlag	00332130	sdata/sbss
_AreaHack	00332114	sdata/sbss
_AreaHackIndex	00332110	sdata/sbss
_AreaHacksSet	0070806c	bss
_AreaImperialShuttleCharScene	002d3770	data
_AreaMillenniumFalconCharScene	002d3790	data
_AreaMinikitScale	003389c0	sdata/sbss
_AreaMusic	00338d50	sdata/sbss
_AreaPickupGravity	003389b8	sdata/sbss
_AreaPickupScale	003389bc	sdata/sbss
_AreaRedBrick	002dc74c	data
_AreaSlave1CharScene	002d3780	data
_AreaTimer	003328a0	sdata/sbss
_Area_AsteroidChase_LevelList	002dd434	data
_Area_BlockadeRunner_LevelList	002dd4e8	data
_Area_BonusLevelList	002e2988	data
_Area_CloudCityEscape_LevelList	002dd3fe	data
_Area_CloudCityTrap_LevelList	002dd410	data
_Area_Dagobah_LevelList	002dd420	data
_Area_DeathStar2Battle_LevelList	002dd398	data
_Area_DeathStarBattle_LevelList	002dd47c	data
_Area_DeathStarEscape_LevelList	002dd496	data
_Area_DeathStarRescue_LevelList	002dd4a8	data
_Area_E4CharacterBonusLevelList	002e29f0	data
_Area_E4EndingLevelList	002e29f6	data
_Area_E4VehicleBonusLevelList	002dd476	data
_Area_E5CharacterBonusLevelList	002e29e2	data
_Area_E5EndingLevelList	002e29e8	data
_Area_E5VehicleBonusLevelList	002e29dc	data
_Area_E6CharacterBonusLevelList	002e2994	data
_Area_E6EndingLevelList	002e299a	data
_Area_E6VehicleBonusLevelList	002e298e	data
_Area_EmperorFight_LevelList	002dd3b2	data
_Area_EndorBattle_LevelList	002dd3be	data
