# table	index	string	func_addr	cur_name	proposed_name	confidence
AI_Conditions_API	16	EitherPlayerInTriggerArea	0x800842A4	fn_800842A4	Condition_EitherPlayerInTriggerArea	HIGH
AI_Conditions_API	17	BaddyInTriggerArea	0x800843B0	fn_800843B0	Condition_BaddyInTriggerArea	HIGH
AI_Conditions_API	18	GoodyInTriggerArea	0x80084430	fn_80084430	Condition_GoodyInTriggerArea	HIGH
AI_Conditions_API	19	OpponentInTriggerArea	0x800844B0	fn_800844B0	Condition_OpponentInTriggerArea	HIGH
AI_Conditions_API	20	GotOpponent	0x8008454C	fn_8008454C	Condition_GotOpponent	HIGH
AI_Conditions_API	21	OpponentIsAThreat	0x80084578	fn_80084578	Condition_OpponentIsAThreat	HIGH
AI_Conditions_API	22	OpponentOnSamePath	0x800845B0	fn_800845B0	Condition_OpponentOnSamePath	HIGH
AI_Conditions_API	23	OpponentRange	0x80084600	fn_80084600	Condition_OpponentRange	HIGH
AI_Conditions_API	24	NearestOpponentRange	0x80084628	fn_80084628	Condition_NearestOpponentRange	HIGH
AI_Conditions_API	25	YawToOpponent	0x80084650	fn_80084650	Condition_YawToOpponent	HIGH
AI_Conditions_API	26	OpponentBelow	0x80084700	fn_80084700	Condition_OpponentBelow	HIGH
AI_Conditions_API	27	OriginRange	0x8008474C	fn_8008474C	Condition_OriginRange	HIGH
AI_Conditions_API	28	OpponentToOrigin	0x800847B8	fn_800847B8	Condition_OpponentToOrigin	HIGH
AI_Conditions_API	29	PlayerToOrigin	0x80084824	fn_80084824	Condition_PlayerToOrigin	HIGH
AI_Conditions_API	30	OpponentToLocator	0x800848C4	fn_800848C4	Condition_OpponentToLocator	HIGH
AI_Conditions_API	31	OpponentToLocatorXZ	0x80084928	fn_80084928	Condition_OpponentToLocatorXZ	HIGH
AI_Conditions_API	32	OpponentToLocatorY	0x8008498C	fn_8008498C	Condition_OpponentToLocatorY	HIGH
AI_Conditions_API	33	PlayerToLocator	0x80084A08	fn_80084A08	Condition_PlayerToLocator	HIGH
AI_Conditions_API	34	NearestPlayerToLocator	0x80084A74	fn_80084A74	Condition_NearestPlayerToLocator	HIGH
AI_Conditions_API	35	OnPath	0x80083BBC	fn_80083BBC	Condition_OnPath	HIGH
AI_Conditions_API	36	TimeOffPath	0x80083BE8	fn_80083BE8	Condition_TimeOffPath	HIGH
AI_Conditions_API	37	PathBlocked	0x80084B3C	fn_80084B3C	Condition_PathBlocked	HIGH
AI_Conditions_API	38	InterruptID	0x80084B68	fn_80084B68	Condition_InterruptID	HIGH
AI_Conditions_API	39	IAm	0x80084BEC	fn_80084BEC	Condition_IAm	HIGH
AI_Conditions_API	40	StuckTime	0x80084C60	fn_80084C60	Condition_StuckTime	HIGH
Level_Actions	0	Activate	0x80137EAC	fn_80137EAC	Action_Activate	HIGH
Level_Actions	1	DeActivate	0x80137F28	fn_80137F28	Action_DeActivate	HIGH
Level_Actions	2	GoToLevelPath	0x8013417C	fn_8013417C	Action_GoToLevelPath	HIGH
Level_Actions	3	SetPath	0x8013ABF0	fn_8013ABF0	Action_SetPath	HIGH
Level_Actions	4	GoToOriginalPath	0x801342CC	fn_801342CC	Action_GoToOriginalPath	HIGH
Level_Actions	5	GoToCollectable	0x80139154	fn_80139154	Action_GoToCollectable	HIGH
Level_Actions	6	DumpCollectables	0x8013923C	fn_8013923C	Action_DumpCollectables	HIGH
Level_Actions	7	SnapToLocator	0x8012E5DC	fn_8012E5DC	Action_SnapToLocator	HIGH
Level_Actions	8	SetLocator	0x8012E2F4	fn_8012E2F4	Action_SetLocator	HIGH
Level_Actions	9	SetCounterLocator	0x80139278	fn_80139278	Action_SetCounterLocator	HIGH
Level_Actions	10	SetTableLocator	0x80139324	fn_80139324	Action_SetTableLocator	HIGH
Level_Actions	11	CallDexter	0x80139388	fn_80139388	Action_CallDexter	HIGH
Level_Actions	12	SnapToOrigin	0x8012F3AC	fn_8012F3AC	Action_SnapToOrigin	HIGH
Level_Actions	13	BigJumpToLocator	0x8012E9AC	fn_8012E9AC	Action_BigJumpToLocator	HIGH
Level_Actions	14	BigJump	0x8012EC80	fn_8012EC80	Action_BigJump	HIGH
Level_Actions	15	SetDoomedEscapeLocator	0x8012EE28	fn_8012EE28	Action_SetDoomedEscapeLocator	HIGH
Level_Actions	16	SnapToPosition	0x8012F090	fn_8012F090	Action_SnapToPosition	HIGH
Level_Actions	17	SnapToSockPosition	0x8012F5B8	fn_8012F5B8	Action_SnapToSockPosition	HIGH
Level_Actions	18	SetAnimation	0x8013ACA4	fn_8013ACA4	Action_SetAnimation	HIGH
Level_Actions	19	AnimTimeRandom	0x8013AD20	fn_8013AD20	Action_AnimTimeRandom	HIGH
Level_Actions	20	LockDoor	0x8013AD6C	fn_8013AD6C	Action_LockDoor	HIGH
Level_Actions	21	UnLockDoor	0x8013ADA8	fn_8013ADA8	Action_UnLockDoor	HIGH
Level_Actions	22	CloseDoor	0x8013ADE4	fn_8013ADE4	Action_CloseDoor	HIGH
Level_Actions	23	OpenDoor	0x8013AE20	fn_8013AE20	Action_OpenDoor	HIGH
Level_Actions	24	DoorSetStayOpen	0x8013AEC8	fn_8013AEC8	Action_DoorSetStayOpen	HIGH
Level_Actions	25	SetDoorFinished	0x8013AF84	fn_8013AF84	Action_SetDoorFinished	HIGH
Level_Actions	26	ActivateGadget	0x8013B048	fn_8013B048	Action_ActivateGadget	HIGH
Level_Actions	27	SetObstacleChainPhase	0x8013B0BC	fn_8013B0BC	Action_SetObstacleChainPhase	HIGH
Level_Actions	28	EndLoopingAnimation	0x8013B18C	fn_8013B18C	Action_EndLoopingAnimation	HIGH
Level_Actions	29	CanOpenDoors	0x8013B1FC	fn_8013B1FC	Action_CanOpenDoors	HIGH
Level_Actions	30	CanShootOffScreen	0x8013B2C0	fn_8013B2C0	Action_CanShootOffScreen	HIGH
Level_Actions	31	CanCollectCoins	0x8013B384	fn_8013B384	Action_CanCollectCoins	HIGH
Level_Actions	32	KeepWeaponOut	0x8013B448	fn_8013B448	Action_KeepWeaponOut	HIGH
Level_Actions	33	SnapWeaponOut	0x8013B520	fn_8013B520	Action_SnapWeaponOut	HIGH
Level_Actions	34	ResetContext	0x8013B680	fn_8013B680	Action_ResetContext	HIGH
Level_Actions	35	PrefersPlayers	0x8013B734	fn_8013B734	Action_PrefersPlayers	HIGH
Level_Actions	36	SetBoltsDontGetDeflectedBack	0x8013B7CC	fn_8013B7CC	Action_SetBoltsDontGetDeflectedBack	HIGH
Level_Actions	37	AttackButtonMash	0x8013B864	fn_8013B864	Action_AttackButtonMash	HIGH
Level_Actions	38	CanShootObstructions	0x8013B8FC	fn_8013B8FC	Action_CanShootObstructions	HIGH
Level_Actions	39	SetTaggable	0x8013BA2C	fn_8013BA2C	Action_SetTaggable	HIGH
Level_Actions	40	CannotDropIn	0x8013BB74	fn_8013BB74	Action_CannotDropIn	HIGH
Level_Actions	41	CanAttack	0x8013BC84	fn_8013BC84	Action_CanAttack	HIGH
Level_Actions	42	TakeDamage	0x8013BD64	fn_8013BD64	Action_TakeDamage	HIGH
Level_Actions	43	TagCharacter	0x8013BE98	fn_8013BE98	Action_TagCharacter	HIGH
Level_Actions	44	CanHitForceObjects	0x8013B994	fn_8013B994	Action_CanHitForceObjects	HIGH
Level_Actions	45	SetSide	0x8012DC18	fn_8012DC18	Action_SetSide	HIGH
Level_Actions	46	AttackOpponent	0x8012FB7C	fn_8012FB7C	Action_AttackOpponent	HIGH
Level_Actions	47	SetDefensive	0x80137F84	fn_80137F84	Action_SetDefensive	HIGH
Level_Actions	48	SetShootOpponents	0x80138184	fn_80138184	Action_SetShootOpponents	HIGH
Level_Actions	49	SetBoss	0x80138220	fn_80138220	Action_SetBoss	HIGH
Level_Actions	50	SetJumping	0x801383C8	fn_801383C8	Action_SetJumping	HIGH
Level_Actions	51	UpdateSockPos	0x80138464	fn_80138464	Action_UpdateSockPos	HIGH
Level_Actions	52	UseForce	0x80134574	fn_80134574	Action_UseForce	HIGH
Level_Actions	53	DeflectPlayersPart	0x8013BF90	fn_8013BF90	Action_DeflectPlayersPart	HIGH
Level_Actions	54	Snipe	0x801347F4	fn_801347F4	Action_Snipe	HIGH
Level_Actions	55	EngageOpponent	0x8012FD28	fn_8012FD28	Action_EngageOpponent	HIGH
Level_Actions	56	EngageObject	0x801302FC	fn_801302FC	Action_EngageObject	HIGH
Level_Actions	57	Kill	0x80138500	fn_80138500	Action_Kill	HIGH
Level_Actions	58	SetScriptState	0x80138618	fn_80138618	Action_SetScriptState	HIGH
Level_Actions	59	SetAIOverrideControl	0x80138738	fn_80138738	Action_SetAIOverrideControl	HIGH
Level_Actions	60	SetLastSafePathPos	0x80138818	fn_80138818	Action_SetLastSafePathPos	HIGH
Level_Actions	61	SetIgnoreAntinodes	0x80138910	fn_80138910	Action_SetIgnoreAntinodes	HIGH
Level_Actions	62	SetDontMove	0x801389F0	fn_801389F0	Action_SetDontMove	HIGH
Level_Actions	63	CantDie	0x80138AD0	fn_80138AD0	Action_CantDie	HIGH
Level_Actions	64	DontSetStoppedFlag	0x80138BB0	fn_80138BB0	Action_DontSetStoppedFlag	HIGH
Level_Actions	65	ForceFreeze	0x80138C90	fn_80138C90	Action_ForceFreeze	HIGH
Level_Actions	66	SetRespawnLocator	0x801382BC	fn_801382BC	Action_SetRespawnLocator	HIGH
Level_Actions	67	SetFlag	0x80138DA8	fn_80138DA8	Action_SetFlag	HIGH
Level_Actions	68	SetLevelFlag	0x80138EAC	fn_80138EAC	Action_SetLevelFlag	HIGH
Level_Actions	69	SetAreaFlag	0x80138F84	fn_80138F84	Action_SetAreaFlag	HIGH
Level_Actions	70	SetPlayType	0x8013904C	fn_8013904C	Action_SetPlayType	HIGH
Level_Actions	71	PlaceAheadOfPlayer	0x8012DF14	fn_8012DF14	Action_PlaceAheadOfPlayer	HIGH
Level_Actions	72	PressSpecialButton	0x8013950C	fn_8013950C	Action_PressSpecialButton	HIGH
Level_Actions	73	PressTagButton	0x80139550	fn_80139550	Action_PressTagButton	HIGH
Level_Actions	74	PressActionButton	0x80139594	fn_80139594	Action_PressActionButton	HIGH
Level_Actions	75	UseWeapon	0x801395E4	fn_801395E4	Action_UseWeapon	HIGH
Level_Actions	76	SetInvulnerable	0x801305D0	fn_801305D0	Action_SetInvulnerable	HIGH
Level_Actions	77	DontPush	0x80130820	fn_80130820	Action_DontPush	HIGH
Level_Actions	78	PressJumpButton	0x80139620	fn_80139620	Action_PressJumpButton	HIGH
Level_Actions	79	AddToSet	0x80139664	fn_80139664	Action_AddToSet	HIGH
Level_Actions	80	GoToDoorTrigger	0x8012D8F8	fn_8012D8F8	Action_GoToDoorTrigger	HIGH
Level_Actions	81	ResetDoorTrigger	0x80137E10	fn_80137E10	Action_ResetDoorTrigger	HIGH
Level_Actions	82	SetNearestSpline	0x801397A4	fn_801397A4	Action_SetNearestSpline	HIGH
Level_Actions	83	SetRandomSpline	0x801398E0	fn_801398E0	Action_SetRandomSpline	HIGH
Level_Actions	84	FollowSpline	0x80130A0C	fn_80130A0C	Action_FollowSpline	HIGH
Level_Actions	85	SetControlSystem	0x80139710	fn_80139710	Action_SetControlSystem	HIGH
Level_Actions	86	PlaceOnSock	0x80130C60	fn_80130C60	Action_PlaceOnSock	HIGH
Level_Actions	87	FollowSock	0x80131078	fn_80131078	Action_FollowSock	HIGH
Level_Actions	88	SetZeroAcceleration	0x80139A44	fn_80139A44	Action_SetZeroAcceleration	HIGH
Level_Actions	89	BreakFormation	0x80139B48	fn_80139B48	Action_BreakFormation	HIGH
Level_Actions	90	FormationMove	0x80139B70	fn_80139B70	Action_FormationMove	HIGH
Level_Actions	91	CreateCreatures	0x801311F4	fn_801311F4	Action_CreateCreatures	HIGH
Level_Actions	92	CreateSockCreatures	0x801318D0	fn_801318D0	Action_CreateSockCreatures	HIGH
Level_Actions	93	CreateSplineCreatures	0x80132194	fn_80132194	Action_CreateSplineCreatures	HIGH
Level_Actions	94	SetSpeed	0x80139D0C	fn_80139D0C	Action_SetSpeed	HIGH
Level_Actions	95	SetRunSpeed	0x801326F0	fn_801326F0	Action_SetRunSpeed	HIGH
Level_Actions	96	SetWalkSpeed	0x80139D84	fn_80139D84	Action_SetWalkSpeed	HIGH
Level_Actions	97	SetHitPoints	0x80139E14	fn_80139E14	Action_SetHitPoints	HIGH
Level_Actions	98	SetMessage	0x8013287C	fn_8013287C	Action_SetMessage	HIGH
Level_Actions	99	AddPart	0x801329FC	fn_801329FC	Action_AddPart	HIGH
Level_Actions	100	AddPartDebris	0x80132C40	fn_80132C40	Action_AddPartDebris	HIGH
Level_Actions	101	ActivateTurret	0x80139F30	fn_80139F30	Action_ActivateTurret	HIGH
Level_Actions	102	SetHoverPhase	0x8013A014	fn_8013A014	Action_SetHoverPhase	HIGH
Level_Actions	103	UseCurrentSpeed	0x8013A0F8	fn_8013A0F8	Action_UseCurrentSpeed	HIGH
Level_Actions	104	SetMaxMovementRange	0x80132E78	fn_80132E78	Action_SetMaxMovementRange	HIGH
Level_Actions	105	SetDefaultMovementRange	0x8013A264	fn_8013A264	Action_SetDefaultMovementRange	HIGH
Level_Actions	106	SetGravityHeight	0x8013A2C4	fn_8013A2C4	Action_SetGravityHeight	HIGH
Level_Actions	107	ApplyGravity	0x8013A35C	fn_8013A35C	Action_ApplyGravity	HIGH
Level_Actions	108	IgnoreShoveSystem	0x8013A3F8	fn_8013A3F8	Action_IgnoreShoveSystem	HIGH
Level_Actions	109	CannotBeSeen	0x8013A494	fn_8013A494	Action_CannotBeSeen	HIGH
Level_Actions	111	RaceOpponent	0x8013301C	fn_8013301C	Action_RaceOpponent	HIGH
Level_Actions	112	ZamMovement	0x80133278	fn_80133278	Action_ZamMovement	HIGH
Level_Actions	113	SetVisibility	0x8013A530	fn_8013A530	Action_SetVisibility	HIGH
Level_Actions	114	EnableSock	0x8013A608	fn_8013A608	Action_EnableSock	HIGH
Level_Actions	115	MakeExplosion	0x801334CC	fn_801334CC	Action_MakeExplosion	HIGH
Level_Actions	116	JudderGameCamera	0x8013A6E0	fn_8013A6E0	Action_JudderGameCamera	HIGH
