# LSW1 Demo Data/BSS Symbols
# name	address	section
_BOLTBADGUYDOUBLEB	033b278c	bss
_BOLTBADGUYDOUBLEG	033b278d	bss
_BOLTBADGUYDOUBLER	001cf59e	data
_BOLTBADGUYG	033b278f	bss
_BOLTBADGUYR	001cf59c	data
_BOLTGOODGUYA	001cf59b	data
_BOLTGOODGUYB	033b2790	bss
_BOLTGOODGUYG	001cf59a	data
_BOLTGOODGUYR	033b2791	bss
_BOLTRAYCASTTIME	001cf5a0	data
_BOLTSPACESHIPA	001cf599	data
_BOLTSPACESHIPB	033b2792	bss
_BOLTSPACESHIPG	033b2793	bss
_BOLTSPACESHIPR	001cf598	data
_BOSSHEARTSIZE	001eff20	data
_BOSSHEARTY	001eff1c	data
_BOSSICONSIZE	001eff28	data
_BOSSICONY	001eff24	data
_BSDemo	00e48200	bss
_BUILDUPCOINCOUNT	001eff08	data
_BUILDUPCOINDX	001eff0c	data
_BUILDUPCOINSCALE	001eff10	data
_BUILDUPSCALE	001eff14	data
_BUILDUPY	001efed0	data
_BackupGame	033b4a38	bss
_BaseCurrentSpeed	033b4a20	bss
_BattleDroidAnim	001d1648	data
_BattleDroidCommanderAnim	001d1988	data
_BattleDroidGeonosianAnim	001d2008	data
_BattleDroidSecurityAnim	001d1cc8	data
_BeenAttacked	03425e00	bss
_BigIconAlpha	0346e000	bss
_Bink	034929a8	bss
_Bink_DSound	03492998	bss
_Bink_buffer	034929a4	bss
_Bink_image	0349299c	bss
_Bink_surface_type	03492970	bss
_Bink_window	034929a0	bss
_BitCountTable	034374c8	bss
_BlendsVB	00e3dd68	bss
_BobAnim	001e49c8	data
_BobaFettBoyAnim	001db548	data
_BodyGuardAnim	001e5448	data
_Bolt	033b2798	bss
_BoltObjA$7525	001f0798	data
_BoltObjB$7526	001f07a8	data
_BonusACutList	001e9b64	data
_BonusIntroCutList	001e9b60	data
_BoulderRadius	001e9ae0	data
_BoulderWait	033e292c	bss
_BrushData	001e9630	data
_BrushFrame	033e8e5c	bss
_BuildUpDone	033eee30	bss
_BuildUpScale	033eee34	bss
_BuildUpTotal	033eee38	bss
_BurnoutFlare	0342fc7c	bss
_BurnoutFlareTarget	0342fc88	bss
_BurnoutIntensity	0342fc80	bss
_BurnoutIntensityTarget	0342fc8c	bss
_BurnoutSnap	0342fc78	bss
_BurnoutThreshold	0342fc84	bss
_BurnoutThresholdTarget	0342fc90	bss
_C3POAnim	001dd1c8	data
_CAMSHAKEOFFSETSEEK	001efd50	data
_CAMSHAKETARGETSEEK	001efd4c	data
_CAMSHAKETARGETTOL	001efd48	data
_CHARACTERBUFFERSIZE	001ceb1c	data
_CInfo	001e8f98	data
_COINMSGTIME	001f0398	data
_COINTOTAL_COINDX	001efef8	data
_COINTOTAL_COINSIZE	001efef4	data
_COINTOTAL_SCOREDY	001efefc	data
_COINTOTAL_SCORESIZE	001efef0	data
_COLLECTCOLUMNS	001e8f28	data
_COLLECTDX	001e8f1c	data
_COLLECTDY	001e8f20	data
_COLLECTSCALE	001e8f24	data
_COLLECTY	001e8f18	data
_COMPLEXSHADOWA	001e8bd4	data
_COMPLEXSHADOWLENGTH	001e8bd0	data
_COMPLEXSHADOWS	001cd634	data
_CRAWLMUSIC	001efce8	data
_CRAWLSKIPSIZE	001efcf0	data
_CRAWLSKIPY	001efcec	data
_CSC_CUTDATA	03590fc4	bss
_CUTBORDERYPIXELSFRACTION	001f3900	data
_CUTBORDERYPIXELSFRACTION_WIDESCREEN	001f3904	data
_CUTCAM	034262a4	bss
_CUTCAMONLY	034262bc	bss
_CUTDRAWWORLD	034262b0	bss
_CUTFADEMUSIC	034262ac	bss
_CUTFOGSETTINGS	03426294	bss
_CUTLOCKFOG	0342629c	bss
_CUTNOFOG	03426298	bss
_CUTSKIPLOCK	03426278	bss
_CUTSTOPDRAW	034262b4	bss
_CUTSTOPGAME	034262c0	bss
_CUTTRANSLATE	034262a8	bss
_CamShakeMag	001efd44	data
_CamStopBlend	001efd10	data
_CaptainPanakaAnim	001dcdc8	data
_CatagoryNames	001e9550	data
_CategoryFlags	001e9530	data
_CharCurPos	03427ca0	bss
_CharItems	0342ab60	bss
_CharShelfIds	03427cf4	bss
_CharacterConfigList	001f6138	data
_Cheat	001ceb58	data
_ChewbaccaAnim	001e0488	data
_ClearAICreaturesFn	033f15b0	bss
_CloneAnim	001cf608	data
_CloneEp3Anim	001d0148	data
_CloneEp3PilotAnim	001d0508	data
_CloneEp3SandAnim	001d08c8	data
_CloneEp3SwampAnim	001d0c88	data
_CloneEp3WalkerAnim	001d1048	data
_CloneWalkerAnim	001e1cc8	data
_CodePos	03427d80	bss
_CoinTotalScale	033eee24	bss
_CollectCount	033b5408	bss
_CollectIDCount	033b5410	bss
_CollectIDList	001e8bd8	data
_CollectList	001e8ed8	data
_CollectPos	033b5210	bss
_ComboOpponent_Range2	033bc8fc	bss
_ConfigBuffer	035a0fe8	bss
_ConfigBuffer_lower	03590fe8	bss
_CountDookuAnim	001d9388	data
_CreatureDrawDist	001cf600	data
_CreditList	0346f174	bss
_CreditsAlpha	0346f170	bss
_CreditsEndTime	001f5db4	data
_CreditsFinishedTime	0346f168	bss
_CreditsSize	0346f164	bss
_CreditsTime	0346f16c	bss
_CruiserACutList	001e9ab0	data
_CruiserCCutList	001e9abc	data
_CruiserD_Lift	033e29c0	bss
_CruiserD_LiftAnim	033e29a8	bss
_CruiserD_LiftChase	033e29b4	bss
_CruiserD_LiftChase_msg	033e29bc	bss
_CruiserD_Lift_plat_id	033e29b8	bss
_CruiserD_direction	001e9ac8	data
_CruiserD_frame	001e9ac4	data
_CruiserD_ix	033e29b0	bss
_CruiserE_ix	033e29ac	bss
_CruiserFCutList	001e9acc	data
_CruiserOutro1CutList	001e9ab4	data
_CruiserOutro2CutList	001e9ab8	data
_CurStreamIds	034279b8	bss
_CurTerr	03425d90	bss
_CurTrackInfo	03425c34	bss
_CurrentBlur	00e481a4	bss
_CurrentCList	033e060c	bss
_CurrentCutScene	03426284	bss
_CurrentDepth$7979	00e49a54	bss
_CurrentHeight$7978	00e49a58	bss
_CurrentSFXTAB	03425e40	bss
_CurrentSpeed	033b4a28	bss
_CurrentSpeedOverride	033b4a24	bss
_CurrentStoryCList	033e0608	bss
_CurrentWidth$7977	00e49a5c	bss
_CutBlobShadowAlpha	03426260	bss
_CutBlobShadowFadeFar	03426254	bss
_CutBlobShadowFadeFar2	03426250	bss
_CutBlobShadowFadeNear	0342625c	bss
_CutBlobShadowFadeNear2	03426258	bss
_CutBorderScale	03426288	bss
_CutCamMtx	033e9778	bss
_CutData	001f20d8	data
_CutDeadVehiclePlayer	03426268	bss
_CutFrame	0342628c	bss
_CutReflectRange	0342624c	bss
_CutReflectRange2	03426248	bss
_CutSceneConfigList	001f6648	data
_CutSceneWaiting	03426280	bss
_CutStopInfo	034262b8	bss
_CutVolume	001f0a00	data
_CutoffCameraVec	00e2895c	bss
_D3DMatrixIdentity$13325	00e18918	data
_D3DToOpenGLPrimitive	00e18878	data
_DBLJUMPRANGE	001f3cac	data
_DEBPAGE_CHARACTER	001f5804	data
_DEBPAGE_GENERAL	001f5800	data
_DEBUGMENUSCALE	001f3978	data
_DEFAULTFRAMEPERSEC	00e49af8	bss
_DEFAULTFRAMETIME	00e49b00	bss
_DEFAULTMAXSMARTFONTWIDTH	001f53ac	data
_DEFAULTVIBRATION	001ceb4c	data
_DEFAULT_MOVE_RANGE	033b563c	bss
_DEFAULT_WIN32_HEIGHT	001cc024	data
_DEFAULT_WIN32_WIDTH	001cc020	data
_DEFENDTIME	001f3c90	data
