build_a	build_b	arch_a	arch_b	same_arch	method	score	matched	total	notes
ps2_prototype	ps2_us_retail_v1	mips	mips	yes	string_jaccard	0.7668	3810	4969	
ps2_prototype	ps2_us_retail_v1	mips	mips	yes	key_string_jaccard	0.8789	392	446	
ps2_prototype	ps2_us_retail_v1	mips	mips	yes	positional_byte	0.1929	567544	2941736	vs min(2941736,3170744)
ps2_prototype	ps2_us_retail_v1	mips	mips	yes	chunk_hash	0.0016	2	1288	4KB chunks
ps2_prototype	ps2_us_retail_gh	mips	mips	yes	string_jaccard	0.7080	3646	5150	
ps2_prototype	ps2_us_retail_gh	mips	mips	yes	key_string_jaccard	0.6050	317	524	
ps2_prototype	ps2_us_retail_gh	mips	mips	yes	positional_byte	0.1902	559595	2941736	vs min(2941736,3182600)
ps2_prototype	ps2_us_retail_gh	mips	mips	yes	chunk_hash	0.0016	2	1290	4KB chunks
ps2_prototype	xbox_retail	mips	x86	no	string_jaccard	0.4079	2260	5541	
ps2_prototype	xbox_retail	mips	x86	no	key_string_jaccard	0.1790	87	486	
ps2_prototype	xbox_demo_oxm045	mips	x86	no	string_jaccard	0.4126	2260	5478	
ps2_prototype	xbox_demo_oxm045	mips	x86	no	key_string_jaccard	0.1809	87	481	
ps2_prototype	pc_us_demo	mips	x86	no	string_jaccard	0.1826	2588	14173	
ps2_prototype	pc_us_demo	mips	x86	no	key_string_jaccard	0.1211	174	1437	
ps2_prototype	pc_us_retail	mips	x86	no	string_jaccard	0.1557	2452	15745	
ps2_prototype	pc_us_retail	mips	x86	no	key_string_jaccard	0.1082	161	1488	
ps2_prototype	mac_demo_dbg	mips	ppc	no	string_jaccard	0.1201	1953	16262	
ps2_prototype	mac_demo_dbg	mips	ppc	no	key_string_jaccard	0.0548	148	2700	
ps2_eu_demo	ps2_eu_retail_v1	mips	mips	yes	string_jaccard	0.9132	4511	4940	
ps2_eu_demo	ps2_eu_retail_v1	mips	mips	yes	key_string_jaccard	0.6959	357	513	
ps2_eu_demo	ps2_eu_retail_v1	mips	mips	yes	positional_byte	0.3134	993664	3170488	vs min(3173684,3170488)
